,num,ID,name,protein
0,0,R-HSA-1268020,Mitochondrial protein import,O75746
1,1,R-HSA-1268020,Mitochondrial protein import,Q96H96
2,2,R-HSA-1268020,Mitochondrial protein import,Q9Y584
3,3,R-HSA-1268020,Mitochondrial protein import,P56277
4,4,R-HSA-1268020,Mitochondrial protein import,Q9BVV7
5,5,R-HSA-1268020,Mitochondrial protein import,O96008
6,6,R-HSA-1268020,Mitochondrial protein import,Q9NX63
7,7,R-HSA-1268020,Mitochondrial protein import,P55789
8,8,R-HSA-1268020,Mitochondrial protein import,P38646
9,9,R-HSA-1268020,Mitochondrial protein import,O75390
10,10,R-HSA-1268020,Mitochondrial protein import,O94826
11,11,R-HSA-1268020,Mitochondrial protein import,Q9UJS0
12,12,R-HSA-1268020,Mitochondrial protein import,Q9BUK0
13,13,R-HSA-1268020,Mitochondrial protein import,P05496
14,14,R-HSA-1268020,Mitochondrial protein import,Q8WYQ3
15,15,R-HSA-1268020,Mitochondrial protein import,Q15388
16,16,R-HSA-1268020,Mitochondrial protein import,Q96DA6
17,17,R-HSA-1268020,Mitochondrial protein import,Q9HAV7
18,18,R-HSA-1268020,Mitochondrial protein import,Q16595
19,19,R-HSA-1268020,Mitochondrial protein import,Q9Y512
20,20,R-HSA-1268020,Mitochondrial protein import,P51553
21,21,R-HSA-1268020,Mitochondrial protein import,O95169
22,22,R-HSA-1268020,Mitochondrial protein import,Q9Y276
23,23,R-HSA-1268020,Mitochondrial protein import,Q16635
24,24,R-HSA-1268020,Mitochondrial protein import,Q9Y6H1
25,25,R-HSA-1268020,Mitochondrial protein import,Q96B49
26,26,R-HSA-1268020,Mitochondrial protein import,Q9NRP2
27,27,R-HSA-1268020,Mitochondrial protein import,Q5JTJ3
28,28,R-HSA-1268020,Mitochondrial protein import,Q99798
29,29,R-HSA-1268020,Mitochondrial protein import,Q9Y5J7
30,30,R-HSA-1268020,Mitochondrial protein import,Q14061
31,31,R-HSA-1268020,Mitochondrial protein import,Q9Y5J6
32,32,R-HSA-1268020,Mitochondrial protein import,Q9Y5J9
33,33,R-HSA-1268020,Mitochondrial protein import,Q99595
34,34,R-HSA-1268020,Mitochondrial protein import,P08574
35,35,R-HSA-1268020,Mitochondrial protein import,Q49B96
36,36,R-HSA-1268020,Mitochondrial protein import,Q9NYJ1
37,37,R-HSA-1268020,Mitochondrial protein import,Q8TAA5
38,38,R-HSA-1268020,Mitochondrial protein import,P10809
39,39,R-HSA-1268020,Mitochondrial protein import,Q86WU2
40,40,R-HSA-1268020,Mitochondrial protein import,Q3ZCQ8
41,41,R-HSA-1268020,Mitochondrial protein import,P12236
42,42,R-HSA-1268020,Mitochondrial protein import,P12235
43,43,R-HSA-1268020,Mitochondrial protein import,O43615
44,44,R-HSA-1268020,Mitochondrial protein import,Q9NS69
45,45,R-HSA-1268020,Mitochondrial protein import,O14925
46,46,R-HSA-1268020,Mitochondrial protein import,P25705
47,47,R-HSA-1268020,Mitochondrial protein import,O60220
48,48,R-HSA-1268020,Mitochondrial protein import,Q8N4Q1
49,49,R-HSA-1268020,Mitochondrial protein import,Q5JRX3
50,50,R-HSA-1268020,Mitochondrial protein import,P00480
51,51,R-HSA-1268020,Mitochondrial protein import,O75439
52,52,R-HSA-1268020,Mitochondrial protein import,Q9P0U1
53,53,R-HSA-1268020,Mitochondrial protein import,Q13505
54,54,R-HSA-1268020,Mitochondrial protein import,Q10713
55,55,R-HSA-1268020,Mitochondrial protein import,Q9Y5L4
56,56,R-HSA-1268020,Mitochondrial protein import,Q8N4H5
57,57,R-HSA-1268020,Mitochondrial protein import,P62072
58,58,R-HSA-1268020,Mitochondrial protein import,O75431
59,59,R-HSA-1268020,Mitochondrial protein import,Q8IWL3
60,60,R-HSA-1268020,Mitochondrial protein import,Q9BSY4
61,61,R-HSA-1268020,Mitochondrial protein import,Q9Y3D7
62,62,R-HSA-1268020,Mitochondrial protein import,O60830
63,63,R-HSA-1268020,Mitochondrial protein import,P21796
64,64,R-HSA-1268020,Mitochondrial protein import,P06576
65,65,R-HSA-1268020,Mitochondrial protein import,Q9Y5J6
66,66,R-HSA-5389840,Mitochondrial translation elongation,Q96A35
67,67,R-HSA-5389840,Mitochondrial translation elongation,Q96DV4
68,68,R-HSA-5389840,Mitochondrial translation elongation,Q96EL2
69,69,R-HSA-5389840,Mitochondrial translation elongation,Q7Z2W9
70,70,R-HSA-5389840,Mitochondrial translation elongation,Q96EL3
71,71,R-HSA-5389840,Mitochondrial translation elongation,Q9P015
72,72,R-HSA-5389840,Mitochondrial translation elongation,Q9H0U6
73,73,R-HSA-5389840,Mitochondrial translation elongation,Q8IXM3
74,74,R-HSA-5389840,Mitochondrial translation elongation,Q9BYC9
75,75,R-HSA-5389840,Mitochondrial translation elongation,Q9BYC8
76,76,R-HSA-5389840,Mitochondrial translation elongation,Q9NVS2
77,77,R-HSA-5389840,Mitochondrial translation elongation,Q9BQC6
78,78,R-HSA-5389840,Mitochondrial translation elongation,Q9NX20
79,79,R-HSA-5389840,Mitochondrial translation elongation,Q9NWU5
80,80,R-HSA-5389840,Mitochondrial translation elongation,Q9P0J6
81,81,R-HSA-5389840,Mitochondrial translation elongation,Q9Y6G3
82,82,R-HSA-5389840,Mitochondrial translation elongation,Q9BZE1
83,83,R-HSA-5389840,Mitochondrial translation elongation,Q9HD33
84,84,R-HSA-5389840,Mitochondrial translation elongation,O15235
85,85,R-HSA-5389840,Mitochondrial translation elongation,Q13084
86,86,R-HSA-5389840,Mitochondrial translation elongation,Q9H9J2
87,87,R-HSA-5389840,Mitochondrial translation elongation,Q96GC5
88,88,R-HSA-5389840,Mitochondrial translation elongation,P82921
89,89,R-HSA-5389840,Mitochondrial translation elongation,Q8N983
90,90,R-HSA-5389840,Mitochondrial translation elongation,O75616
91,91,R-HSA-5389840,Mitochondrial translation elongation,P82912
92,92,R-HSA-5389840,Mitochondrial translation elongation,Q9Y676
93,93,R-HSA-5389840,Mitochondrial translation elongation,P82914
