,UniProt ID,Synonyms
0,P08574,"['Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit', 'Cytochrome c-1', 'cytochrome c1', 'Complex III subunit 4', 'UQCR4', 'MC3DN6', 'CYC1', 'EC 7.1.1.8', 'Cytochrome b-c1 complex subunit 4', 'Cytochrome c1, heme protein, mitochondrial', 'Complex III subunit IV']"
1,P21912,"['SDHIP', 'SDH', 'SDH1', 'SDH2', 'SDHB', 'IP', 'CWS2', 'succinate dehydrogenase complex iron sulfur subunit B', 'Iron-sulfur subunit of complex II', 'PGL4', 'Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial', 'Ip', 'EC 1.3.5.1']"
2,Q99807,"['COQ7', '5-demethoxyubiquinone hydroxylase, mitochondrial', 'CLK-1', 'DMQ hydroxylase', 'Ubiquinone biosynthesis monooxygenase COQ7', 'COQ10D8', 'Timing protein clk-1 homolog', 'CLK1', 'CAT5', 'EC 1.14.99.60', 'coenzyme Q7, hydroxylase']"
3,P31040,"['PGL5', 'Flavoprotein subunit of complex II', 'CMD1GG', 'FP', 'Fp', 'SDH1', 'SDH2', 'Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial', 'SDHF', 'succinate dehydrogenase complex flavoprotein subunit A', 'SDHA', 'EC 1.3.5.1']"
4,P31930,"['Core protein I', 'UQCR1', 'Ubiquinol-cytochrome-c reductase complex core protein 1', 'D3S3191', 'Cytochrome b-c1 complex subunit 1, mitochondrial', 'Complex III subunit 1', 'QCR1', 'UQCRC1', 'ubiquinol-cytochrome c reductase core protein 1']"
5,Q5HYK3,"['-', 'Ubiquinone biosynthesis methyltransferase COQ5', 'coenzyme Q5, methyltransferase', '2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial', 'COQ5', 'EC 2.1.1.201']"
6,P08559,"['PHE1A', 'PDHA', 'Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial', 'PDHE1-A type I', 'EC 1.2.4.1', 'PDHAD', 'PDHCE1A', 'pyruvate dehydrogenase E1 subunit alpha 1', 'PDHA1']"
7,O75208,"['COQ10D5', 'coenzyme Q9', 'C16orf49', 'COQ9', 'Ubiquinone biosynthesis protein COQ9, mitochondrial']"
8,P52815,"['39S ribosomal protein L12, mitochondrial', 'mitochondrial ribosomal protein L12', 'RPML12', 'L12mt', '5c5-2', 'MRP-L31/34', 'Mitochondrial large ribosomal subunit protein bL12m', 'MRPL7/L12', 'MRP-L12', 'MRPL7', 'MRPL12']"
9,P30049,"['F-ATPase delta subunit', 'ATP synthase F1 subunit delta', 'ATP5F1D', 'MC5DN5', 'ATP5D', 'ATP synthase subunit delta, mitochondrial']"
10,P20674,"['Cytochrome c oxidase subunit 5A, mitochondrial', 'COX5A', 'VA', 'COX-VA', 'COX', 'cytochrome c oxidase subunit 5A', 'Cytochrome c oxidase polypeptide Va']"
11,Q86U28,"['ISCA2', 'c14_5557', 'iron-sulfur cluster assembly 2', 'MMDS4', 'HESB-like domain-containing protein 1', 'HBLD1', 'ISA2', 'Iron-sulfur cluster assembly 2 homolog, mitochondrial']"
