protein,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
Q9BSE5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007193241973841502,0.0,0.0,0.005080084725432499,0.005513774861097601
Q13825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003587745362434019,0.0,0.0,0.005082361887060725,0.0
Q8TD30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00931095652881993,0.0,0.0,0.01456766944901899,0.0
Q9HA77,0.0,0.0,0.0,0.0,0.0,0.0,0.0079380892434305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101294329124704,0.0,0.0,0.0,0.0
O95363,0.0,0.0,0.0,0.0,0.0,0.0,0.022558767269229275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01744262311091455,0.003591618488697266,0.0,0.014403670224323753,0.0
O94761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024426474096095174,0.0,0.0,0.003387917259365849,0.007880476974018624,0.00998751783273097,0.0,0.0061485640302167575,0.0,0.0
Q9UHN1,0.0,0.0,0.0,0.0,0.0,0.0,0.004858527008906458,0.0,0.0,0.02790701953688111,0.016235598864974343,0.008557787894880124,0.003358822994443031,0.0067282085364433145,0.012259774738512657,0.010807771763624687,0.003828525336123019,0.0,0.0
Q13472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004843088067565315,0.0038365152103057775,0.0,0.0,0.0,0.008360859782321628,0.0,0.003918041380268893,0.0,0.0
P16219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282163266300048,0.0,0.0,0.0,0.0,0.015960073649118837,0.0036261534693958963,0.0,0.0,0.0
P12235,0.0,0.0,0.0,0.0,0.0,0.018692032523531896,0.0,0.0,0.0,0.08338926957461792,0.016641331266637294,0.016736516733145045,0.008937038431010135,0.02473494817325796,0.06261218135772871,0.02293460463675361,0.0,0.0,0.012007564770195434
Q8IWW8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003838650609152308,0.0,0.003439269997306964,0.0,0.005696399596213126,0.0,0.0,0.0,0.0
Q16881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006087152879272886,0.003368318917706761,0.008914573680061086,0.0,0.011468613203089298,0.0,0.0,0.0,0.0
O43766,0.0,0.0,0.0,0.004339899698076528,0.0,0.0,0.0,0.0,0.0,0.0,0.0038120640627403272,0.0067027502946887104,0.02083872237430951,0.0,0.010815357679292205,0.0036125925895054384,0.0,0.0,0.0
Q5T1C6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009690431648257428,0.0,0.011469804766683498,0.0,0.0,0.0,0.0
Q5JTZ9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005456264958310906,0.0,0.0035883058068801213,0.0,0.0,0.0,0.0
Q8NE22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005456264958310906,0.0,0.0035883058068801213,0.0,0.0,0.0,0.0
Q96RP9,0.0,0.005516169780945285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033685331066885408,0.0034373556454727625,0.00544292554315697,0.010105850781357076,0.005767320039100901,0.0,0.0,0.0
P22033,0.0,0.01272846730556841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059392994460416145,0.01229971000590561,0.0,0.017422838206753475,0.03376412542897467,0.013778225732778144,0.0,0.0,0.0
Q96PE7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007840320266844409,0.0,0.005437347874111943,0.015373158756617803,0.0036320373393893064,0.0,0.0,0.0
P45880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006721625313570279,0.005427046851818895,0.011467273359112731,0.020158254943846182,0.003618665338801149,0.0,0.0,0.0
P23378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007815879291963977,0.0,0.011511739600114514,0.01674040405892103,0.007264315192466616,0.0,0.0,0.0
Q16774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005344255410858181,0.0,0.008006951841217072,0.0109086571985655,0.00363424197287531,0.0,0.0,0.0
P35232,0.0,0.0,0.01419034136080035,0.0,0.006027711868297029,0.0,0.0,0.0,0.0,0.0,0.014625709037287956,0.008645417269712501,0.0033977362018192308,0.007911568518802434,0.02329207889647197,0.014006211032978744,0.0,0.0,0.0
Q5T2R2,0.0,0.0,0.0,0.0,0.0,0.013687539147965591,0.0,0.0,0.0,0.0,0.016936138437228077,0.013779321305554624,0.01727646999393984,0.01305687925355013,0.03716226789713016,0.02426453771431661,0.010588730405895664,0.0,0.015166974705240826
Q8IVS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023327215440822585,0.0157429123187743,0.012718308257075669,0.018779920234582716,0.04384302727299769,0.043534737279436665,0.0,0.0,0.0
P22570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018250426284976272,0.015320150927804194,0.0,0.015124353414607643,0.03991056317325108,0.02753668967926025,0.0,0.0,0.0
P49419,0.014960685280443997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02160525042010197,0.02368109051230631,0.004661830225022696,0.032978581586961084,0.06967016859488112,0.04180138925841431,0.0,0.0,0.012462535702086792
P22234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038373606436295843,0.00336927651491845,0.0,0.0,0.010843995696184577,0.003636565492152477,0.0,0.0,0.0
P12236,0.0,0.0,0.0,0.0,0.0,0.012732064562754972,0.0,0.0,0.0,0.022584648697485128,0.017166561734360958,0.018132069057499884,0.009779848675045994,0.026887118283381937,0.06851684298104907,0.024743126242049232,0.0,0.0,0.013139941974609104
P80404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037021468265541523,0.005155335377011831,0.005261718204360584,0.011615290643255043,0.043079273229343684,0.011331429426493246,0.0,0.0,0.0
