,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,N/A,18,42,17,6,5,0,0,0,5,29,2,1,1,11,2,5,0,0
1,18,N/A,0,52,146,54,5,0,3,50,2,4,0,3,47,1,1,0,1
2,42,0,N/A,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0
3,17,52,0,N/A,26,27,11,2,43,12,2,2,0,0,28,3,2,2,4
4,6,146,0,26,N/A,37,4,0,1,28,1,2,0,0,47,0,0,0,0
5,5,54,0,27,37,N/A,3,0,2,61,0,3,0,1,16,0,4,0,1
6,0,5,0,11,4,3,N/A,76,0,6,157,10,5,11,101,19,3,3,8
7,0,0,0,2,0,0,76,N/A,0,0,18,3,3,9,11,23,1,1,5
8,0,3,0,43,1,2,0,0,N/A,0,0,1,0,2,15,0,4,0,0
9,5,50,3,12,28,61,6,0,0,N/A,5,3,0,1,8,0,1,0,0
10,29,2,1,2,1,0,157,18,0,5,N/A,725,416,486,543,171,29,9,37
11,2,4,0,2,2,3,10,3,1,3,725,N/A,843,3738,537,550,47,9,95
12,1,0,0,0,0,0,5,3,0,0,416,843,N/A,649,74,40,29,30,21
13,1,3,1,0,0,1,11,9,2,1,486,3738,649,N/A,400,724,21,7,45
14,11,47,0,28,47,16,101,11,15,8,543,537,74,400,N/A,1184,31,14,53
15,2,1,0,3,0,0,19,23,0,0,171,550,40,724,1184,N/A,7,0,45
16,5,1,1,2,0,4,3,1,4,1,29,47,29,21,31,7,N/A,11,16
17,0,0,0,2,0,0,3,1,0,0,9,9,30,7,14,0,11,N/A,6
18,0,1,0,4,0,1,8,5,0,0,37,95,21,45,53,45,16,6,N/A
