,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,N/A,0.008,0.032,0.008,0.004,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
1,0.008,N/A,0.0,0.022,0.086,0.027,0.001,0.0,0.002,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.032,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.008,0.022,0.0,N/A,0.018,0.015,0.003,0.001,0.029,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
4,0.004,0.086,0.0,0.018,N/A,0.035,0.001,0.0,0.001,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.003,0.027,0.0,0.015,0.035,N/A,0.001,0.0,0.002,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
6,0.0,0.001,0.0,0.003,0.001,0.001,N/A,0.021,0.0,0.002,0.003,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001
7,0.0,0.0,0.0,0.001,0.0,0.0,0.021,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
8,0.0,0.002,0.0,0.029,0.001,0.002,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
9,0.003,0.026,0.003,0.007,0.03,0.049,0.002,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,N/A,0.006,0.005,0.003,0.003,0.001,0.0,0.0,0.001
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,N/A,0.01,0.023,0.003,0.003,0.001,0.0,0.001
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01,N/A,0.006,0.001,0.0,0.001,0.001,0.001
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.023,0.006,N/A,0.002,0.004,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.003,0.001,0.002,N/A,0.005,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.004,0.005,N/A,0.0,0.0,0.0
16,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,N/A,0.003,0.002
17,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.003,N/A,0.001
18,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.002,0.001,N/A
