,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,N/A,2332,1299,2091,1379,1675,3363,2236,1399,1570,61197,69373,20427,97723,113942,107093,3586,2390,6886
1,2332,N/A,1623,2415,1703,1999,3687,2560,1723,1894,61521,69697,20751,98047,114266,107417,3910,2714,7210
2,1299,1623,N/A,1382,670,966,2654,1527,690,861,60488,68664,19718,97014,113233,106384,2877,1681,6177
3,2091,2415,1382,N/A,1462,1758,3446,2319,1482,1653,61280,69456,20510,97806,114025,107176,3669,2473,6969
4,1379,1703,670,1462,N/A,1046,2734,1607,770,941,60568,68744,19798,97094,113313,106464,2957,1761,6257
5,1675,1999,966,1758,1046,N/A,3030,1903,1066,1237,60864,69040,20094,97390,113609,106760,3253,2057,6553
6,3363,3687,2654,3446,2734,3030,N/A,3591,2754,2925,62552,70728,21782,99078,115297,108448,4941,3745,8241
7,2236,2560,1527,2319,1607,1903,3591,N/A,1627,1798,61425,69601,20655,97951,114170,107321,3814,2618,7114
8,1399,1723,690,1482,770,1066,2754,1627,N/A,961,60588,68764,19818,97114,113333,106484,2977,1781,6277
9,1570,1894,861,1653,941,1237,2925,1798,961,N/A,60759,68935,19989,97285,113504,106655,3148,1952,6448
10,61197,61521,60488,61280,60568,60864,62552,61425,60588,60759,N/A,128562,79616,156912,173131,166282,62775,61579,66075
11,69373,69697,68664,69456,68744,69040,70728,69601,68764,68935,128562,N/A,87792,165088,181307,174458,70951,69755,74251
12,20427,20751,19718,20510,19798,20094,21782,20655,19818,19989,79616,87792,N/A,116142,132361,125512,22005,20809,25305
13,97723,98047,97014,97806,97094,97390,99078,97951,97114,97285,156912,165088,116142,N/A,209657,202808,99301,98105,102601
14,113942,114266,113233,114025,113313,113609,115297,114170,113333,113504,173131,181307,132361,209657,N/A,219027,115520,114324,118820
15,107093,107417,106384,107176,106464,106760,108448,107321,106484,106655,166282,174458,125512,202808,219027,N/A,108671,107475,111971
16,3586,3910,2877,3669,2957,3253,4941,3814,2977,3148,62775,70951,22005,99301,115520,108671,N/A,3968,8464
17,2390,2714,1681,2473,1761,2057,3745,2618,1781,1952,61579,69755,20809,98105,114324,107475,3968,N/A,7268
18,6886,7210,6177,6969,6257,6553,8241,7114,6277,6448,66075,74251,25305,102601,118820,111971,8464,7268,N/A
