,0
0,15365173
1,22517755
2,16151635
3,26683077
4,16532388
5,24569607
6,19527690
7,28320155
8,16705513
9,27984598
10,17292333
11,23572439
12,31605306
13,22970697
14,31077085
15,31234430
16,28027875
17,16604388
18,16137960
19,22773905
20,32157656
21,26252090
22,19026397
23,19836344
24,20454697
25,26647310
26,24256876
27,20407791
28,12436196
29,22589247
30,27798429
31,17512723
32,24846978
33,26892229
34,11752023
35,27613247
36,17169568
37,29444077
38,28444329
39,15347646
40,17003408
41,21203403
42,18835817
43,23665487
44,16402322
45,20711738
46,27449621
47,23545042
48,19299492
49,16751977
50,33180495
51,19710705
52,31584786
53,22879922
54,23805034
55,15505787
56,22400981
57,16380132
58,23398673
59,19555656
60,17296905
61,24800637
62,23748049
63,29366807
64,15656090
65,18216301
66,24158608
67,24884847
68,12815198
69,22194643
70,28768321
71,19497304
72,20643099
73,27127184
74,24396955
75,27497748
76,12605258
77,15720387
78,16523300
79,19915464
80,20943885
81,17668373
82,23973714
83,11952088
84,27159682
85,27177320
86,15838728
87,23170061
88,19015050
89,28944608
90,19726426
91,20021885
92,25179213
93,31776719
94,30597069
95,27721048
96,17652639
97,12524521
98,27197761
99,18753147
100,21708074
101,24003133
102,15728662
103,18245391
104,24375076
105,11086393
106,30709774
107,23324391
108,28499982
109,9349609
110,21447323
111,21704194
112,22880419
113,16290150
114,20655066
115,15581630
116,22873568
117,10150831
118,11241464
119,10564713
120,25227147
121,26556812
122,25128282
123,25149473
124,21792976
125,31408922
126,28050007
127,19942242
128,31393068
129,7732778
130,15056184
131,7496173
132,12444382
133,16866982
134,10995506
135,25843656
136,12387454
137,9894888
138,9772417
139,16537564
140,29237403
141,16327654
142,27348141
143,12701227
144,22832341
145,19957502
146,20194621
147,23582502
148,17276738
149,9605391
150,17502560
151,8392410
152,20570288
153,15233272
154,11781695
155,30588737
156,21647632
157,15857931
158,8000105
159,28973171
160,19722047
161,9171323
162,24153443
163,7684581
164,21944974
165,8976130
166,14656719
167,18587274
168,1422200
169,23355809
170,32244971
171,9741403
172,22517274
173,18203188
174,22033022
175,23834081
176,23527980
177,21120938
178,19012224
179,17894844
180,27110715
181,18990125
182,20483008
183,14065754
184,26517220
185,15752543
186,17415700
187,29382469
188,17428816
189,16323009
190,30988455
191,24067127
192,20801145
193,16240368
194,17188070
195,31550237
196,26049142
197,22776096
198,22858546
199,23388408
200,29111013
201,29454676
202,15342707
203,26281626
204,14516807
205,28125838
206,21803037
207,31298765
208,29529134
209,20083290
210,22406748
211,27260406
212,17579882
213,24120325
214,23138851
215,28159969
216,26905822
217,30165240
218,28245802
219,18193945
220,17722006
221,17029191
222,26218912
223,16021496
224,16006781
225,17075502
226,26400325
227,25146916
228,18336293
229,17828551
230,17016536
231,20837821
232,29410463
233,14961560
234,19834041
235,27858935
236,30972688
237,29091347
238,12735796
239,23916084
240,25146915
241,23250881
242,23409176
243,19302076
244,31551424
245,18204809
246,28494813
247,19443720
248,26385429
249,27860320
250,25641387
251,31823625
252,16331355
253,25796301
254,28378518
255,18783614
256,24136862
257,20417568
258,22797356
259,26311407
260,26820596
261,24176854
262,22865259
263,15617556
264,23449689
265,26168012
266,21378995
267,12488262
268,29952689
269,14566653
270,27150940
271,26936288
272,31509793
273,15505825
274,25186535
275,30293569
276,20621843
277,21917770
278,17314202
279,17251483
280,22300878
281,19969356
282,21731710
283,12488251
284,24024178
285,20157369
286,18222991
287,25012220
288,12161614
289,12441838
290,33243194
291,31137067
292,24612963
293,16563384
294,20417570
295,25533789
296,28668999
297,25137924
298,32561926
299,22779427
300,24907432
301,18678599
302,29340645
303,28926202
304,27265430
305,20141358
306,24970096
307,19181907
308,22800932
309,18454199
310,20952381
311,26455272
312,12543739
313,23650221
314,23384603
315,15948788
316,22042570
317,12036970
318,27585216
319,22993284
320,11735024
321,27974214
322,21036400
323,27861891
324,28720802
325,29350691
326,16418602
327,23401657
328,31500643
329,17306754
330,12063046
331,20817698
332,31973973
333,19815013
334,28358911
335,20045077
336,29529130
337,16648378
