,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
0,P03886,P99999,O60313,P20674,Q96E11,P54098,P33897,Q9NZJ7,Q9P0J1,P54098,P30044,O60260,P00441,P00441,O60220,P21964,Q16595,Q9UQ90,P00441,
1,P03905,P54098,Q9H6K4,P10176,Q969S9,Q96RR1,P30044,P33897,Q8N490,Q96RR1,Q9NYZ2,Q99497,P04179,P10176,Q8N0X4,Q8WUD6,Q8N4E7,Q9H9B4,P04179,
2,Q16795,P20674,O95140,P36551,P10176,P20674,P54098,Q9NYZ2,P08559,P12235,O15528,Q9BXM7,Q8N490,P36551,P40939,Q13085,P02794,P10809,P00505,
3,O60313,P10176,O00429,P99999,P20674,P10176,Q9Y276,P22557,O00330,P10176,Q9BYT8,P52758,Q9NYZ2,P20674,O95822,Q13423,Q99798,P54886,Q8N4E7,
4,Q9NWT8,P36551,Q9BT17,Q15526,P36551,P36551,P06746,Q9NP58,P09622,P20674,P30536,P21964,Q9BYT8,P42574,P49419,Q9HCC0,P04179,P30044,P02794,
5,P03923,Q96RR1,Q04837,P42704,P99999,P99999,P04040,Q86U28,P11177,P36551,O43676,P27338,P42574,O00154,P12235,P00441,Q9NTG7,Q9Y4W6,P32119,
6,P00441,P31040,Q96RR1,P00846,P54098,Q96E11,O95363,Q9Y2D0,P99999,P99999,P32119,P00441,Q8WYQ3,P52758,P12236,P52758,Q15070,P33897,Q9BYT8,
7,P00846,Q969S9,P99999,P30084,Q5HYK3,Q969S9,P09110,P35218,P11498,P06746,O43678,P42574,P38646,O43676,P00441,P04040,P54098,Q9H6K4,P07203,
8,Q9H300,Q96E11,Q99623,O43181,O00142,P21912,P10176,Q99797,Q86WU2,Q9UHN1,P36551,Q9BT17,P10176,P10415,Q53FZ2,Q6IB77,Q16798,P41250,P04040,
9,Q12983,P00846,Q12983,Q6NVY1,O43819,Q9UL12,P99999,Q14249,P30084,Q96E11,P00441,P04179,P10415,P32119,Q6IB77,O00154,P23368,Q9H3J6,P52758,
10,Q16611,P21912,P00441,Q9P0J1,Q02318,Q9UDR5,P43155,P53701,Q02218,Q969S9,Q8N4E7,P02794,P20674,P04040,P36551,Q9UG56,Q9H1K1,Q96IR7,P10515,
11,P04179,Q9UL12,P20674,Q330K2,Q9Y2D0,P12235,Q6IB77,O00408,P29803,P12236,P04040,Q8N4E7,P36551,P04179,P10176,P43155,P09622,P61604,Q9NYZ2,
12,O43676,Q9UDR5,P10176,O43819,P35218,P00156,P20674,P10176,P00367,O94761,P02794,P10415,P32119,Q9Y2S7,P20674,O43272,P30536,Q9BRQ8,P36969,
13,P03915,Q9Y606,P36551,Q16795,P21912,P31040,P36551,P99999,P10515,O60313,P38646,P32119,P02794,P30536,P25325,Q8IVS2,P00441,Q9BYT8,P42574,
14,O00408,P49327,P35232,Q9NSE4,Q9UL12,Q16795,P42765,P06746,Q15119,O60930,P10176,Q07812,Q9Y2S7,Q07812,O43676,P49419,P38646,Q8TCG5,Q9Y2S7,
15,Q8WWV3,P17540,P30536,Q96DP5,Q9UDR5,O75390,P55084,Q13085,Q9Y2D0,O00142,P10415,P21397,Q8N4E7,P27338,P48728,P21397,Q9HD34,Q5T440,Q16854,
16,P99999,P12532,P04179,O75251,P31040,P17540,Q96RR1,P43155,P35218,P00441,Q9NP58,P04040,Q16762,Q8NI37,P04040,P04179,P42574,Q9BT17,P10176,
17,Q9Y2Z4,Q07812,Q96AG3,O75306,Q16698,P00846,O14832,P04040,Q8NI37,P04179,Q99797,Q9BYT8,Q8NFU3,Q9NP58,P13804,O43676,P32119,Q9NVI7,Q53FZ2,
18,P49419,Q14296,Q07812,O00217,O95140,O95169,P11498,Q6IB77,P36776,P21912,Q6IB77,Q9Y2S7,Q99797,A6NK06,Q8IVS2,O00408,O60220,P42574,Q00325,
