,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
0,40.0,49.0,900.0,370.0,56.0,151.0,464.0,31.0,375.0,439.0,672.0,7079.0,16969.0,1145.0,1342.0,2159.0,5969.0,283.0,69.0,
1,28.0,48.0,48.0,363.0,56.0,140.0,237.0,20.0,172.0,307.0,398.0,2683.0,2628.0,1051.0,557.0,625.0,135.0,135.0,50.0,
2,26.0,41.0,25.0,363.0,35.0,129.0,188.0,14.0,132.0,98.0,375.0,2566.0,283.0,1042.0,556.0,554.0,132.0,95.0,34.0,
3,22.0,41.0,17.0,225.0,31.0,129.0,79.0,9.0,27.0,66.0,304.0,2150.0,203.0,1026.0,514.0,511.0,81.0,64.0,30.0,
4,21.0,41.0,12.0,221.0,31.0,129.0,32.0,5.0,26.0,65.0,230.0,1586.0,183.0,864.0,422.0,487.0,36.0,54.0,30.0,
5,20.0,26.0,11.0,150.0,24.0,49.0,16.0,5.0,17.0,65.0,218.0,1400.0,150.0,723.0,405.0,450.0,34.0,31.0,20.0,
6,18.0,23.0,10.0,115.0,9.0,47.0,14.0,4.0,15.0,51.0,195.0,704.0,126.0,641.0,405.0,389.0,27.0,24.0,19.0,
7,14.0,18.0,8.0,64.0,7.0,47.0,7.0,4.0,13.0,37.0,189.0,442.0,117.0,578.0,396.0,311.0,25.0,16.0,16.0,
8,13.0,15.0,8.0,61.0,5.0,18.0,7.0,3.0,13.0,19.0,166.0,357.0,108.0,555.0,334.0,290.0,22.0,13.0,16.0,
9,12.0,14.0,8.0,54.0,4.0,18.0,7.0,3.0,12.0,17.0,154.0,350.0,107.0,510.0,329.0,279.0,22.0,12.0,16.0,
10,11.0,11.0,7.0,26.0,4.0,18.0,6.0,3.0,9.0,17.0,152.0,308.0,101.0,508.0,328.0,267.0,21.0,10.0,15.0,
11,10.0,11.0,6.0,25.0,4.0,15.0,6.0,1.0,9.0,17.0,151.0,307.0,101.0,507.0,321.0,241.0,20.0,10.0,15.0,
12,10.0,11.0,6.0,22.0,4.0,14.0,5.0,1.0,5.0,15.0,151.0,305.0,96.0,506.0,279.0,232.0,20.0,10.0,14.0,
13,9.0,10.0,6.0,20.0,3.0,12.0,5.0,1.0,5.0,13.0,147.0,300.0,84.0,482.0,257.0,203.0,19.0,9.0,11.0,
14,9.0,9.0,6.0,20.0,3.0,10.0,3.0,1.0,3.0,9.0,136.0,272.0,83.0,430.0,243.0,201.0,18.0,9.0,11.0,
15,9.0,8.0,6.0,20.0,3.0,8.0,3.0,1.0,3.0,9.0,136.0,267.0,79.0,391.0,223.0,195.0,18.0,9.0,11.0,
16,8.0,8.0,4.0,19.0,3.0,8.0,3.0,1.0,3.0,7.0,127.0,261.0,76.0,363.0,219.0,179.0,17.0,8.0,9.0,
17,8.0,8.0,4.0,19.0,3.0,8.0,3.0,1.0,3.0,6.0,122.0,245.0,76.0,360.0,198.0,156.0,16.0,8.0,9.0,
18,6.0,8.0,3.0,19.0,3.0,7.0,3.0,1.0,2.0,6.0,115.0,231.0,74.0,357.0,196.0,151.0,16.0,7.0,9.0,
19,6.0,7.0,3.0,19.0,3.0,7.0,2.0,1.0,2.0,6.0,104.0,203.0,74.0,354.0,195.0,147.0,16.0,6.0,7.0,
20,6.0,7.0,2.0,17.0,2.0,7.0,2.0,,2.0,6.0,104.0,198.0,71.0,338.0,178.0,147.0,15.0,6.0,6.0,N/A
21,5.0,6.0,2.0,15.0,2.0,6.0,2.0,,2.0,6.0,101.0,194.0,67.0,312.0,176.0,143.0,15.0,6.0,6.0,N/A
22,5.0,6.0,2.0,13.0,2.0,6.0,2.0,,2.0,6.0,101.0,185.0,58.0,304.0,175.0,138.0,14.0,6.0,6.0,N/A
23,5.0,6.0,2.0,13.0,2.0,6.0,2.0,,1.0,5.0,99.0,183.0,56.0,299.0,175.0,136.0,14.0,6.0,6.0,N/A
24,5.0,6.0,2.0,13.0,2.0,5.0,2.0,,1.0,5.0,72.0,175.0,55.0,299.0,171.0,133.0,13.0,6.0,6.0,N/A
25,4.0,5.0,1.0,13.0,1.0,5.0,2.0,,1.0,5.0,71.0,175.0,52.0,296.0,164.0,122.0,12.0,5.0,6.0,N/A
26,4.0,5.0,1.0,12.0,1.0,4.0,2.0,,1.0,4.0,71.0,172.0,52.0,261.0,164.0,120.0,11.0,5.0,5.0,N/A
