,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
0,310.0,335.0,1858.0,2738.0,187.0,667.0,1002.0,83.0,679.0,465.0,4223.0,22107.0,39999.0,13499.0,9102.0,13214.0,6510.0,359.0,306.0,
1,275.0,223.0,1858.0,2144.0,118.0,425.0,958.0,44.0,633.0,465.0,2098.0,22107.0,39730.0,6710.0,3761.0,7036.0,6108.0,334.0,255.0,
2,274.0,221.0,1801.0,2061.0,112.0,415.0,957.0,43.0,615.0,459.0,2098.0,22107.0,39717.0,6612.0,3499.0,5204.0,6098.0,333.0,255.0,
3,259.0,206.0,56.0,1937.0,112.0,405.0,936.0,40.0,602.0,309.0,2098.0,19789.0,39428.0,6436.0,3133.0,4752.0,6035.0,267.0,249.0,
4,238.0,195.0,56.0,1449.0,112.0,326.0,936.0,40.0,600.0,206.0,1813.0,19658.0,39428.0,6436.0,2972.0,4696.0,312.0,267.0,238.0,
5,86.0,188.0,52.0,1445.0,108.0,326.0,928.0,40.0,246.0,200.0,1813.0,19399.0,39428.0,5433.0,2459.0,4696.0,308.0,267.0,238.0,
6,86.0,188.0,52.0,1445.0,103.0,326.0,581.0,26.0,226.0,200.0,1706.0,19390.0,20225.0,5424.0,2455.0,4540.0,278.0,190.0,238.0,
7,70.0,167.0,52.0,1437.0,103.0,326.0,485.0,25.0,221.0,200.0,1666.0,16841.0,20225.0,5424.0,2455.0,4535.0,272.0,190.0,199.0,
8,66.0,167.0,52.0,1437.0,101.0,326.0,475.0,25.0,221.0,199.0,1584.0,14288.0,20108.0,5382.0,2347.0,4513.0,267.0,180.0,199.0,
9,62.0,166.0,52.0,1436.0,100.0,326.0,475.0,25.0,221.0,199.0,1497.0,14158.0,19892.0,5333.0,2159.0,4513.0,254.0,130.0,199.0,
10,62.0,165.0,52.0,1419.0,100.0,322.0,467.0,25.0,39.0,199.0,1476.0,14158.0,17014.0,4591.0,2097.0,4513.0,198.0,101.0,189.0,
11,58.0,156.0,45.0,1419.0,100.0,322.0,465.0,22.0,38.0,199.0,1384.0,12055.0,16969.0,4591.0,2092.0,4318.0,194.0,88.0,182.0,
12,58.0,156.0,45.0,1419.0,99.0,318.0,465.0,21.0,36.0,195.0,1296.0,11537.0,16969.0,4446.0,2092.0,4318.0,194.0,71.0,180.0,
13,57.0,150.0,39.0,595.0,99.0,259.0,465.0,20.0,36.0,184.0,1260.0,8280.0,16969.0,4049.0,2042.0,4318.0,170.0,69.0,180.0,
