,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
0,Metabolism,Metabolism,Apoptosis,Metabolism,Metabolism,Metabolism,Metabolism,Metabolism,Metabolism,Mitochondrial biogenesis,Metabolism,Selective autophagy,Immune System,Metabolism,Metabolism,Metabolism,Metabolism,Transport of small molecules,Immune System,
1,The citric acid (TCA) cycle and respiratory electron transport,The citric acid (TCA) cycle and respiratory electron transport,Programmed Cell Death,The citric acid (TCA) cycle and respiratory electron transport,Metabolism of proteins,The citric acid (TCA) cycle and respiratory electron transport,Metabolism of lipids,Metabolism of lipids,The citric acid (TCA) cycle and respiratory electron transport,Organelle biogenesis and maintenance,Generic Transcription Pathway,Macroautophagy,Cytokine Signaling in Immune system,Immune System,Metabolism of lipids,Disease,Protein localization,Mitochondrial calcium ion transport,Signaling by Interleukins,
2,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Regulation of Apoptosis,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Mitochondrial translation termination,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Fatty acid metabolism,Fatty acid metabolism,Pyruvate metabolism and Citric Acid (TCA) cycle,Transcriptional activation of mitochondrial biogenesis,Gene expression (Transcription),Autophagy,Signaling by Interleukins,Gene expression (Transcription),Protein localization,Biological oxidations,Mitochondrial protein import,Processing of SMDT1,Cytokine Signaling in Immune system,
3,Respiratory electron transport,Respiratory electron transport,Mitochondrial biogenesis,Respiratory electron transport,Mitochondrial translation,Respiratory electron transport,alpha-linolenic acid (ALA) metabolism,alpha-linolenic acid (ALA) metabolism,Pyruvate metabolism,Metabolism,RNA Polymerase II Transcription,Metabolism of proteins,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Generic Transcription Pathway,Disease,Phase II - Conjugation of compounds,Mitochondrial iron-sulfur cluster biogenesis,Generic Transcription Pathway,Metabolism,
4,Complex I biogenesis,Gene expression (Transcription),Organelle biogenesis and maintenance,Gene expression (Transcription),Translation,Cellular response to chemical stress,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Regulation of pyruvate dehydrogenase (PDH) complex,Gene expression (Transcription),Cellular responses to stress,Post-translational protein modification,Interleukin-12 signaling,RNA Polymerase II Transcription,Fatty acid metabolism,Transmission across Chemical Synapses,The citric acid (TCA) cycle and respiratory electron transport,Gene expression (Transcription),Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,
5,Apoptosis,Generic Transcription Pathway,PINK1-PRKN Mediated Mitophagy,Generic Transcription Pathway,The citric acid (TCA) cycle and respiratory electron transport,Cellular responses to stress,Linoleic acid (LA) metabolism,Linoleic acid (LA) metabolism,Metabolism of amino acids and derivatives,The citric acid (TCA) cycle and respiratory electron transport,Cellular responses to stimuli,Mitophagy,Interleukin-12 family signaling,Cytokine Signaling in Immune system,Gene expression (Transcription),Neuronal System,Immune System,RNA Polymerase II Transcription,Interleukin-12 signaling,
6,Programmed Cell Death,RNA Polymerase II Transcription,Mitophagy,RNA Polymerase II Transcription,Respiratory electron transport,Cellular responses to stimuli,Protein localization,Disease,Glyoxylate metabolism and glycine degradation,Generic Transcription Pathway,Metabolism of lipids,PINK1-PRKN Mediated Mitophagy,Cellular responses to stress,Cellular responses to stress,Generic Transcription Pathway,Infectious disease,Transport of small molecules,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Interleukin-12 family signaling,
7,Gene expression (Transcription),Cellular responses to stress,Selective autophagy,Cellular responses to stress,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Generic Transcription Pathway,Peroxisomal lipid metabolism,ABC-family proteins mediated transport,Signaling by Retinoic Acid,RNA Polymerase II Transcription,Cellular response to chemical stress,Aggrephagy,Cellular responses to stimuli,Cellular responses to stimuli,RNA Polymerase II Transcription,Neurotransmitter clearance,Pyruvate metabolism and Citric Acid (TCA) cycle,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Cellular response to chemical stress,
8,Immune System,Cellular responses to stimuli,Macroautophagy,Cellular responses to stimuli,Gene expression (Transcription),Gene expression (Transcription),Beta-oxidation of very long chain fatty acids,ABC transporter disorders,Signal Transduction,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Disease,Deubiquitination,Cellular response to chemical stress,Cellular response to chemical stress,Mitochondrial protein import,Enzymatic degradation of Dopamine by monoamine oxidase,Iron uptake and transport,Metabolism,Cellular responses to stress,
9,Signaling by Interleukins,Transcriptional Regulation by TP53,Autophagy,Cellular response to chemical stress,Cellular response to chemical stress,RNA Polymerase II Transcription,Disease,Disorders of transmembrane transporters,Signaling by Nuclear Receptors,Cellular response to chemical stress,Transcriptional Regulation by TP53,Josephin domain DUBs,Detoxification of Reactive Oxygen Species,Signaling by Interleukins,Metabolism of amino acids and derivatives,Enzymatic degradation of dopamine by COMT,Citric acid cycle (TCA cycle),Protein localization,Cellular responses to stimuli,
