,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
1,P03886,P99999,O60313,Q15526,Q96E11,Q96RR1,P33897,Q9NZJ7,Q9P0J1,P54098,P30044,O60260,P00441,P42574,O60220,P21964,Q16595,Q9UQ90,P00505
2,P03905,P31040,Q9H6K4,P20674,Q969S9,P54098,P30044,P33897,P08559,Q96RR1,O15528,Q9BXM7,P04179,O00154,P40939,Q8WUD6,Q99798,Q9H9B4,P00441
3,Q16795,P54098,O95140,P36551,P10176,P20674,P54098,Q9NYZ2,Q8N490,P12235,Q9NYZ2,Q99497,Q8N490,P00441,O95822,Q13423,Q8N4E7,P10809,P04179
4,P03923,P20674,O00429,P10176,P20674,P36551,Q9Y276,P22557,O00330,P06746,Q9BYT8,P52758,Q9BYT8,P20674,Q8N0X4,Q13085,P02794,P54886,P02794
5,Q9NWT8,P36551,Q04837,P99999,P99999,P10176,P06746,Q86U28,P09622,P99999,O43678,P27338,Q9NYZ2,P36551,P49419,Q9HCC0,Q9NTG7,Q9Y4W6,Q8N4E7
6,O60313,P10176,Q9BT17,P42704,P36551,P99999,O95363,Q9NP58,P11177,P20674,P30536,P21964,Q8WYQ3,P10176,P12236,P52758,Q15070,P30044,P10515
7,P00846,Q969S9,Q12983,P00846,Q5HYK3,Q96E11,P04040,Q9Y2D0,P11498,P10176,O43676,P42574,P38646,P10415,Q53FZ2,Q6IB77,Q16798,Q9H6K4,P32119
8,Q9H300,Q96RR1,Q99623,O43181,O00142,Q969S9,P09110,P35218,Q86WU2,P36551,P32119,Q9BT17,P42574,Q9Y2S7,P12235,Q9UG56,P23368,P41250,P07203
9,Q12983,Q96E11,P35232,P30084,O43819,P21912,P43155,Q14249,P30084,Q9UHN1,P38646,P00441,P10415,O43676,Q6IB77,O43272,Q9H1K1,P33897,Q9BYT8
10,P03915,P00846,Q96RR1,Q6NVY1,Q9Y2D0,Q9UDR5,Q6IB77,P53701,Q02218,O94761,Q99797,P10415,Q16762,P32119,P25325,P04040,P09622,Q9H3J6,P36969
11,Q16611,P21912,Q96AG3,Q330K2,P35218,Q9UL12,P99999,Q99797,P29803,P12236,Q8N4E7,P02794,Q8NFU3,P52758,P48728,O00154,Q9HD34,Q9BRQ8,Q16854
12,Q8WWV3,Q9UDR5,P30536,O43819,P54098,P00156,P55084,P06746,P99999,Q96E11,P02794,P21397,Q99797,P14735,P13804,P43155,Q9Y697,P61604,P04040
13,O00408,Q9UL12,P99999,O00217,Q02318,P31040,P42765,O00408,P10515,Q969S9,P10415,Q8N4E7,Q9Y2S7,Q07812,O43676,P21397,Q14296,Q96IR7,Q9NYZ2
