protein,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
Q12931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021311261462270522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P33121,0.0,0.0,0.007913881470406786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008891267525330947,0.0,0.0,0.006221251842484774,0.0,0.0
O15527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007597104814833492,0.01658656611793708,0.003389100989485954,0.027385382831360196,0.0,0.007199140232940513,0.0,0.0,0.0
Q9H3J6,0.0,0.0,0.0,0.015592943975733372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02054320965563526,0.0
P21796,0.0,0.0,0.0,0.0,0.006013824233820816,0.0,0.0,0.0,0.0,0.0,0.0,0.015304904656048727,0.012427496058459223,0.026502541118161027,0.0082454475475837,0.009337319948706742,0.0,0.005009704784721753,0.0
O60930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017396780165938878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P23378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007815879291963977,0.0,0.011511739600114514,0.01674040405892103,0.007264315192466615,0.0,0.0,0.0
Q8IWA4,0.009305740292173141,0.0,0.004950591080786057,0.0043580591425323644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009502238376166828,0.0,0.011560334547845346,0.00567542899636518,0.0,0.0039093604218297245,0.0,0.0
Q96GA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137432510469738,0.0,0.0,0.0,0.0
P08574,0.0,0.0,0.0,0.004368516170397671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010400539255605407,0.0034325539387349844,0.0,0.0,0.0,0.0,0.0
Q86Y39,0.0,0.0,0.0,0.008776035011021244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q92947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007768091247261776,0.04028659231841681,0.0,0.0,0.0,0.0
Q9NNW7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006084555783090201,0.0,0.0,0.010975512469296622,0.005690438011926238,0.009486156365967151,0.0,0.0,0.0
