protein,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
Q12931,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.05521850807996226,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199,0.04972534168000199
P33121,0.04994759753322114,0.04994759753322114,0.0506278271753914,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.04994759753322114,0.050104434683344815,0.04994759753322114,0.04994759753322114,0.0501585800765045,0.04994759753322114,0.04994759753322114
O15527,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04925965732042166,0.04952250165693545,0.05177125909399191,0.04930171142511426,0.06100475224095483,0.04925965732042166,0.04950491577667858,0.04925965732042166,0.04925965732042166,0.04925965732042166
Q9H3J6,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.051668061593138075,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.04963710343423894,0.054864076590561,0.04963710343423894
P21796,0.049271386097452956,0.049271386097452956,0.049271386097452956,0.049271386097452956,0.04993747789572221,0.049271386097452956,0.049271386097452956,0.049271386097452956,0.049271386097452956,0.049271386097452956,0.049271386097452956,0.05093585598404829,0.050428552445760125,0.0594683062577452,0.049514483441400095,0.049678180538350374,0.049271386097452956,0.04950912417008519,0.049271386097452956
O60930,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.05442407434916762,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764,0.049767153981622764
P23378,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04982919859001476,0.04995760000053655,0.04982919859001476,0.05047978139346562,0.05234234952673143,0.04995309163903017,0.04982919859001476,0.04982919859001476,0.04982919859001476
Q8IWA4,0.05098019197130727,0.049850346358305125,0.050196772488357674,0.04995649040745556,0.049850346358305125,0.049850346358305125,0.049850346358305125,0.049850346358305125,0.049850346358305125,0.049850346358305125,0.049850346358305125,0.05023438482612407,0.049850346358305125,0.050692873630042525,0.04992826664554561,0.049850346358305125,0.04995651737320058,0.049850346358305125,0.049850346358305125
Q96GA7,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.05034976403603085,0.04998159136652469,0.04998159136652469,0.04998159136652469,0.04998159136652469
P08574,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.05007635945814039,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.05043268471847305,0.05000162358962197,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332,0.0499699607196332
Q86Y39,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.050299903524120324,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666,0.049984215603993666
