protein,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
Q12931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859441734899747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P33121,0.0,0.0,0.1563148551287912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17745470199440225,0.0,0.0,0.12403165785386656,0.0,0.0
O15527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15340712929774913,0.3203817409158195,0.06874205563094404,0.44890572988796335,0.0,0.14542273469197534,0.0,0.0,0.0
Q9H3J6,0.0,0.0,0.0,0.30179076773811536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374438265113708,0.0
P21796,0.0,0.0,0.0,0.0,0.12042707175517924,0.0,0.0,0.0,0.0,0.0,0.0,0.3004740837346839,0.24643769165942198,0.44565824698781153,0.16652597330116767,0.18795615796553888,0.0,0.1011875057112959,0.0
O60930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3196522931070292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P23378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564502556543956,0.0,0.2280465422460141,0.31982523158177384,0.14542273469197534,0.0,0.0,0.0
Q8IWA4,0.18253639173054917,0.0,0.09862369302596628,0.08723709586056035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891580519808665,0.0,0.2280465422460141,0.11367166091818487,0.0,0.07825526332479935,0.0,0.0
Q96GA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20134021885813166,0.0,0.0,0.0,0.0
P08574,0.0,0.0,0.0,0.08723709586056035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2062261668928321,0.06864884962350351,0.0,0.0,0.0,0.0,0.0
Q86Y39,0.0,0.0,0.0,0.1744741917211207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q92947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15939769262251052,0.5283040327899577,0.0,0.0,0.0,0.0
Q9NNW7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12157227364010713,0.0,0.0,0.2176117047417975,0.11367166091818487,0.18795615796553888,0.0,0.0,0.0
P10515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264675661630945,0.0,0.4082108556828547,0.06737945761493751,0.0,0.15939769262251052,0.07171883301116865,0.29084546938395067,0.1565105266495987,0.0,0.43877238693580767
O75323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10880585237089875,0.0,0.0,0.0,0.0,0.0
Q9Y2S7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584786770365959,0.5294664974001827,0.43942103988731035,0.6168677118739139,0.41832806489839425,0.3843088223069912,0.27071873227059856,0.0,0.39324563837919596
P04040,0.2674109804526493,0.21938619346790383,0.0,0.24490549045015514,0.12042707175517924,0.09891362518290739,0.40352933513779293,0.14746305199023912,0.0,0.15251290316124308,0.5559418765977768,0.5412876846349566,0.41846470928453555,0.6172576310976972,0.5580700378941102,0.6024429243449543,0.18170309448666022,0.1011875057112959,0.44836645684170745
Q9H6K4,0.18253639173054917,0.0,0.5537434200958893,0.13826752561080496,0.0,0.0,0.0,0.0,0.0,0.0,0.12157227364010713,0.0,0.0,0.0,0.0,0.0,0.0,0.4136001695937285,0.0
Q96HS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2301106939466237,0.22382971326933315,0.0,0.0,0.0,0.0,0.0,0.1011875057112959,0.0
P12074,0.1151676406523784,0.21938619346790383,0.09862369302596628,0.1744741917211207,0.0,0.19782725036581478,0.0,0.0,0.0,0.0,0.12157227364010713,0.06737945761493751,0.06874205563094404,0.17745470199440225,0.07171883301116865,0.0,0.0,0.16037840209391183,0.0
Q5JRX3,0.1151676406523784,0.0,0.09862369302596628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12157227364010713,0.0,0.0,0.3874442348685246,0.0,0.0,0.07825526332479935,0.0,0.0
Q70CQ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129005113087912,0.10895358039753392,0.2374860009706252,0.0,0.0,0.0,0.0,0.0
O75390,0.1151676406523784,0.17385944491129213,0.0,0.27653505122160993,0.12042707175517924,0.31354877345059207,0.09872367060206835,0.0,0.10239052270859074,0.09622492840799063,0.15340712929774913,0.22382971326933315,0.2617254038588324,0.27459539849401404,0.16652597330116767,0.07271136734598767,0.234765789974398,0.0,0.10969309673395192
O75828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564502556543956,0.0,0.06864884962350351,0.0,0.0,0.0,0.0,0.0
Q99798,0.0,0.0,0.1563148551287912,0.0,0.12042707175517924,0.0,0.0,0.0,0.0,0.0,0.12157227364010713,0.3700380829316086,0.17769563602847793,0.2916153370819319,0.22734332183636974,0.25154000323106124,0.4975119062224941,0.0,0.21938619346790383
O43920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07670356464887457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P30049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15961411026979896,0.10880585237089875,0.0,0.0,0.0,0.0,0.0
Q99623,0.1151676406523784,0.283552541645244,0.3126297102575824,0.0,0.12042707175517924,0.0,0.0,0.0,0.0,0.0,0.19827583828898168,0.2912091708842706,0.19298334822788837,0.3854433717682698,0.370780987858707,0.4277350197274699,0.0,0.2615659078052077,0.0
Q07817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25480372638510557,0.2632441692930021,0.2378084407798119,0.3105373244839593,0.0,0.07271136734598767,0.0,0.0,0.0
P13051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1374841112618881,0.2176117047417975,0.0,0.0,0.07825526332479935,0.0,0.0
P12694,0.0,0.0,0.0,0.0,0.0,0.277685652515796,0.0,0.0,0.0,0.0,0.17810016173623097,0.1067939136386065,0.0,0.0,0.11367166091818487,0.0,0.0,0.0,0.0
Q16798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21515649903350592,0.204126615008297,0.3539925320372859,0.0,0.0
P05091,0.0,0.10969309673395192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4295466991579954,0.06874205563094404,0.48870711517997883,0.33305194660233534,0.32891437509919597,0.0,0.16037840209391183,0.0
Q13505,0.0,0.0,0.0,0.27653505122160993,0.0,0.0,0.0,0.0,0.0,0.0,0.5150065651327197,0.20213837284481248,0.0,0.24610355161790579,0.34477788488046895,0.0,0.0,0.0,0.0
