Cluster ID,,Cluster name,Size,Cluster members,Organisms,Length,Identity,Organism IDs
UniRef90_P08574,partially reviewed and UniParc,"Cluster: Cytochrome c1, heme protein, mitochondrial",162,P08574; P00125; Q9D0M3; A0A4U1F4N2; H0VNA2; A0A673VRU8; A0A2Y9JJH1; U6DWZ9; I3M0V6; A0A2Y9LVU6; A0A5N3W955; A0A212CEI5; A0A5N3XCD9; A0A2Y9SAF2; A0A287AZF9; A0A4X1UNI7; B4FV18; D3ZFQ8; A0A7J7R3U9; A0A1U7R731; A0A340XTC8; A0A6J3QAQ2; A0A484GQL5; A0A7J7RLE1; A0A341B594; A0A2F0BIT3; A0A250YFJ0; A0A250YE13; G3RZU2; G3R4P1; A0A663DH73; H2PRF6; A0A7J7ENL5; A0A2K6GP87; A0A3Q7UYT4; M3WFA4; A0A6P6HTG8; A0A6P4UTH0; E2REM0; A0A671FWL2; A0A6J2DK02; A0A4W2C0V1; A0A6B0RY18; L8IH71; Q7YRA7; H0XNC4; A0A3Q7NJL2; A0A1S2Z9T6; A0A7J8C1B3; A0A7J8C1A1; D7NYA9; A0A2Y9E5P7; A0A2K5DJ83; F7HJT0; A0A6P5R593; Q9D0M3-2; A0A2R8VHK1; A0A452F0F0; A0A2U3VYU4; A0A452SUY0; A0A6J3G176; A0A2K5RNP0; A0A2R8Z9P2; A0A1U7UQP1; A0A6I9ITR4; F6VRY7; A0A7J8BAQ4; A0A7J8BB50; A0A6I9M4D7; A0A2Y9H4L8; A0A2U3YRM7; A0A6J0WNY0; H2QWV8; A0A6D2WF39; Q8TBT6; A0A6J1ZQM9; F7DMP6; A0A2K6D0B4; A0A6J2NCP4; A0A7E6E8C3; A0A6P3TRU7; A0A096P3K1; W5Q0A9; A0A6P3F4Z9; G3TXA2; A0A6G1B4A2; A0A2K6TM32; A0A384BI73; L5KJ87; A0A6P3R250; G3HWI4; A0A3L7I286; S9XMC4; A0A5N4CFU3; A0A485MKY9; UPI000D0C95B2; UPI000BA4E611; UPI001879D463; UPI0008135E90; UPI0003441161; UPI00057ACC7E; UPI000FFFB4B6; UPI000762B713; UPI0000112A43; UPI000F440098; UPI0014948423; UPI0010F891D2; UPI0018767042; UPI0000DA2D19; UPI00188EA7D5; UPI000FFBE324; UPI0010A07693; UPI0013C48326; UPI000E55AD12; UPI0003290FCA; UPI0013F28C03; UPI0013F26EDC; UPI0002C63810; UPI00156BF275; UPI000A30AB08; UPI000DBC7D32; UPI001B34BCDF; UPI0004ED2D7B; UPI0000110887; UPI000FE182F1; UPI00058401C3; UPI000B423613; UPI00189DBC9C; UPI00187AB97C; UPI00187A6861; UPI00038C54E9; UPI00187BFD71; UPI00187C1141; UPI000643D615; UPI0018E3E108; UPI0008406D76; UPI001873D459; UPI000C8133E7; UPI001486F112; UPI00167FBC67; UPI0018A0F300; UPI001396573B; UPI0013F325D1; UPI0013F2C382; UPI000F2E668D; UPI00126261CE; UPI001237657C; UPI0013F36B37; UPI0000EE7994; UPI000C298BEE; UPI0000D9C137; UPI000DC17A95; UPI00045D5FCA; UPI0011C3427F; UPI0006975676; UPI000332FB5F; UPI0019232C8A; UPI00193CB8BF; UPI001ADEDD4F; UPI00022F59D1; UPI001262BE11; UPI001AD7AD6C,Homo sapiens (Human); Bos taurus (Bovine); Mus musculus (Mouse); Monodon monoceros (Narwhal) (Ceratodon monodon); Cavia porcellus (Guinea pig); Suricata suricatta (Meerkat); Enhydra lutris kenyoni; Neovison vison (American mink) (Mustela vison); Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus); Delphinapterus leucas (Beluga whale),325,90%,9606; 9913; 10090; 40151; 10141; 37032; 391180; 452646; 43179; 9749; 9888; 46360; 9886; 9755; 9823; 4577; 10116; 51298; 10036; 118797; 9739; 103600; 59472; 1706337; 9764; 51338; 9595; 9601; 77932; 379532; 116960; 9685; 9696; 9691; 9615; 59479; 9704; 30522; 72004; 30611; 34884; 9365; 9407; 9408; 127582; 37293; 9483; 10089; 9925; 9708; 9643; 9515; 2715852; 9597; 1868482; 185453; 9796; 27622; 230844; 29088; 9713; 9880; 9598; 32536; 9544; 9545; 89673; 9940; 9555; 10160; 9785; 9678; 39432; 29073; 9402; 132908; 10029; 419612; 9838; 191816; 9974; 143292; 9669; 9837; 93162; 9994; 90247; 9646; 9771; 50954; 246437; 491861; 42100; 9999; 9361; 81572; 73337; 9715; 10093; 89462; ; 1026970; 27675; 192404; 79684; 9417; 30608; 1047088; 61156; 38674; 9720; 10117; 35658; 61622; 76717; 591936; 9565; 1230840; 34839; 51337; 95912; 1608482
UniRef90_P21912,partially reviewed and UniParc,"Cluster: Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",137,P21912; Q007T0; H2PY56; A0A6D2XV05; A0A2R9BCD0; G3RJI3; Q70SX8; A0A087WXX8; A0A2J8T267; A0A2J8KEI7; A0A7J8AB86; A0A7J8ABF1; A0A7J8ABF7; A0A7J8ABJ5; G3TKW5; A0A2Y9K8Q7; A0A6P6ISA5; A0A485PDC4; A0A485PAV0; A0A6J1ZFI2; A0A667H9J7; A0A6P4WNV3; W6FSU0; A0A3P4M3R6; Q0QEY3; A0A6J2FLM8; A0A5F4CUF9; L5KFZ7; A0A6P3QR12; A0A3Q7Y909; F1Q3W8; Q0QEY4; K9IX36; A0A1U8CE56; Q0QEZ2; A0A250YED3; G1Q784; A0A0D9S8F8; A0A2K6AHA3; G7NUQ9; F7GTK4; A0A2K5U6K0; M3YXT4; A0A671F8Z3; F7IQK8; A0A7J8FBQ3; A0A7J8FBU9; A0A1U7TA75; S7P3N0; A0A2U3VQ02; H0W1S9; G7MH54; A0A2K5JK25; A0A671FJY3; H0WZD0; A0A6J3JPP8; A0A5N4DCI9; A0A2Y9DM73; A0A6P3FE25; A0A6J2LPY6; A0A383ZIU0; A0A6A1Q3X6; A0A384CER2; A0A3Q7MUN9; A0A2K6R6N1; A0A2K5R7J2; A0A7J8KGF6; A0A7J8A1I6; G1L146; A0A096MXT4; A0A2Y9KAG3; I3M6D9; A0A2K5F421; A0A2Y9GPC8; A0A6J0WBC8; L9L0M2; A0A6D2XKV8; H2N8W2; A0A6I9HXR4; A0A6I9JU90; F6TEX7; Q0QEY2; A0A5E4A0E2; I3LDC1; A0A4X1W8G3; A0A1S2ZSA7; G1RS69; A0A5F9CBI8; G5BZN6; S7MFZ0; A0A5N3WGI6; A0A2K6T0B3; A0A2K6T076; Q0QEZ7; UPI00174B2E28; UPI001788B56E; UPI00148635F7; UPI00045DAD42; UPI0007A6D95F; UPI0000F5D185; UPI0018E32FD2; UPI000DC16C4C; UPI0002234E28; UPI000FC5E4D8; UPI000E55CA2F; UPI00122D85E3; UPI00083C55CB; UPI0018798DA8; UPI0007672668; UPI00053F4A07; UPI00138742A1; UPI000331868B; UPI0018760FE1; UPI00093EB55E; UPI0004ED0AED; UPI001B34C103; UPI000813826D; UPI0004D09FD2; UPI0018740D4A; UPI00046BD3F8; UPI0006438B5D; UPI0001F8482E; UPI00032AFA90; UPI00187C8CB8; UPI00038F000D; UPI00188E2DE9; UPI0013F20878; UPI00033348C9; UPI0004BD7C46; UPI0003F09849; UPI0007EE6285; UPI000703E6DB; UPI00076269A4; UPI00108A404A; UPI00187AE81A; UPI00193E8C68; UPI0019229E96,Homo sapiens (Human); Sus scrofa (Pig); Pan troglodytes (Chimpanzee); Pan paniscus (Pygmy chimpanzee) (Bonobo); Gorilla gorilla gorilla (Western lowland gorilla); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Pipistrellus kuhlii (Kuhl's pipistrelle); Loxodonta africana (African elephant); Enhydra lutris kenyoni; Puma concolor (Mountain lion),280,90%,9606; 9823; 9598; 9597; 9595; 9601; 59472; 9785; 391180; 9696; 191816; 32536; 61383; 9691; 74533; 48420; 9685; 9704; 9615; 9402; 132908; 116960; 9430; 10036; 51338; 59463; 60711; 9568; 9541; 9544; 9669; 59479; 9483; 27622; 1868482; 109478; 9708; 10141; 336983; 30611; 9515; 9838; 127582; 10160; 89673; 310752; 9770; 29073; 34884; 61622; 2715852; 9407; 51298; 9646; 9555; 43179; 37293; 29088; 9880; 246437; 30538; 185453; 9796; 9995; 9365; 61853; 9986; 10181; 9888; 39432; 9978; 61156; 1230840; 291302; 1047088; 9565; 286419; 9999; 192404; 225400; 885580; 36723; 42254; 143292; 186990; 1026970; ; 9974; 482537; 9771; 29078; 30608; 9417; 34839; 50954; 81572; 51337; 9798; 28737; 9994; 54180; 95912
UniRef90_Q99807,partially reviewed and UniParc,"Cluster: 5-demethoxyubiquinone hydroxylase, mitochondrial",18,Q99807; Q99807-2; H3BTN8; H3BSZ3; A0A2K5CQN7; F6XXM7; A0A2K5PMM4; A0A6J3EZG2; A0A6J3EZE4; A0A6J3EZF3; Q49A71; H3BP28; UPI0001D3DC41; UPI0010BFA373; UPI0010C0DC88; UPI001898229D; UPI0000EE7CD1; UPI0010BFB755,Homo sapiens (Human); Aotus nancymaae (Ma's night monkey); Callithrix jacchus (White-tufted-ear marmoset); Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator); Sapajus apella (Brown-capped capuchin) (Cebus apella),217,90%,9606; 37293; 9483; 2715852; 9515
UniRef90_P31040,partially reviewed and UniParc,"Cluster: Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",279,P31040; P31039; Q0QF01; Q5R616; Q8HXW3; Q8K2B3; Q920L2; A0A024QZ30; A0A671DKA4; A0A7J7Y5A9; A0A7J7Y5S5; Q00P23; Q6IWE1; Q3KRV7; A0A671DNS2; F1Q1X9; A0A2Y9K940; G1U7G6; L5K9H2; W5Q216; A3QP72; Q2HJI1; A0A6P6DQ21; A0A3Q1MCH3; A0A3Q2HBY0; A0A484H0Z3; A0A091E555; A0A2U4CML1; Q06YX5; Q06SM3; A0A2U4CML8; A0A2U4CME5; A0A2R9B616; A0A2R9BBD4; B3KT34; A0A2K5RMH2; G1PVW0; A0A2K6GIU8; A0A2Y9RF32; A0A673SRF5; A0A452F2G7; A0A341AAM9; G5BPG8; A0A2Y9NPA3; A0A2Y9NVL7; A0A6P7EY92; A0A6P5K7L0; F7EYL2; A0A337S402; A0A667FV81; A0A6P6HVQ3; A0A6P4V889; A0A3Q7NNS0; A0A6J2E1Z9; A0A3Q7X7C2; A0A452S969; A0A452VC70; A0A2K6T7N3; Q2QJG4; A0A3Q7UAJ3; A0A6J0XT52; A0A2U3ZS03; A0A6J0B4Q3; A0A4X2M4U7; A0A250Y443; A0A2Y9SM01; A0A2Y9GZY2; A0A7J8IZ74; A0A7J8IZ28; G3MY67; A0A4W2H0K4; A7E3V1; G1LPI9; A0A485P4J1; A0A5N4ECP3; A0A6J2AKY9; F6TAP7; A0A1S3W7R8; H0X2I2; A0A485P9T1; A0A2Y9DSF2; H2R5Q6; A0A6D2WRE1; K7B2Z2; K7DB59; K7AKW3; A0A6I9M5N7; A0A2U3WR09; A0A6P6HTY3; A0A6P4VBP4; A0A2I3SBJ7; A0A6P5QNI9; K7BPI0; A0A6J0B380; A0A3Q7UP02; A0A2Y9GY93; I0FJ38; A0A341AF31; K7CNV3; A0A7J8J0N2; A0A0P6IWG8; A0A2I3S2N1; A0A2Y9NSH4; K7BP66; A0A2K5RMI1; A0A6J3HXS0; A0A2Y9SNS6; A0A480LCX7; A0A0B8RT86; A0A2J8XSC5; A0A6J2LMF8; A0A3Q7Q4W6; A0A6J2DUU8; U3FBY1; A0A6J2AGZ0; A0A6P5K9T5; A0A3L7I877; A0A2R9B4G9; H9ETF9; A0A5E4C661; A0A384AWT0; A0A1S3EY26; A0A1S2ZK55; A0A3Q7WC08; D2Y5W7; K9IN25; A0A2K5D4H3; G3TKK9; Q0QF22; A0A1U7Q7V2; A0A2R8N191; A0A2I3TPM1; A0A2K5UFQ3; A0A2Y9K4B1; A0A452VCB5; A0A2Y9K4K5; W8CEN1; A0A2Y9K3L1; A0A384DJK9; A0A2Y9K945; A0A2K6T7R9; A0A2K6GIV4; A0A2R9BBE4; A0A2I3TJV3; A0A7J8IZA2; Q0QF18; A0A6P6HTU7; A0A452VCA7; A0A452VCA8; A0A2U4CME0; A0A2U4CME7; G3IFX1; H0VDG4; A0A452VCA6; A0A6P3GMA5; A0A5G2Q7D7; L5LXS7; A0A3P4LUC6; L8IPU4; L9LFN0; A0A4X1TJN2; D2K884; UPI00005A565B; UPI000D532679; UPI00038EA684; UPI0002BCE07D; UPI0010F630F8; UPI0014424221; UPI0010F86460; UPI00196A2BAB; UPI00168CD25E; UPI00034F8BA6; UPI001875B116; UPI0013F2E904; UPI001A9B6839; UPI0018F42600; UPI00122EC5DC; UPI00122F1DBA; UPI001879E9A4; UPI0007EE6F46; UPI00098A866D; UPI00057AA98E; UPI00093F5BD5; UPI00189D93D3; UPI00042B9EC8; UPI001386CB5C; UPI001AE0523D; UPI001395DA79; UPI00187735A6; UPI001746E078; UPI00156BFC28; UPI0000129373; UPI0004D09A91; UPI00042CF4C6; UPI0019238314; UPI00064420D5; UPI001262E438; UPI0012627BC7; UPI0018E319B7; UPI00187AC651; UPI000FFF7C15; UPI00093EE88E; UPI0012374D09; UPI00038EC46C; UPI00004BF61D; UPI000A30F45E; UPI00123EC480; UPI00189DEAE4; UPI001B34C40E; UPI001924E941; UPI000D17EB96; UPI00122F55CF; UPI00193C8B47; UPI00156C4BD5; UPI0013872EA0; UPI0010A04BE2; UPI0018745E65; UPI000FFD1BFB; UPI00063F642A; UPI00168D6257; UPI001B34B740; UPI000E55E85D; UPI00186B0F45; UPI001874154F; UPI00042BF6AD; UPI00062A89EF; UPI00032AF0CF; UPI001AE0C0DD; UPI00059AFEF3; UPI0013F3372B; UPI0004ED5621; UPI0011555F7A; UPI0015600CCD; UPI00038BE0ED; UPI0010A11818; UPI000982349B; UPI000989E9D6; UPI0018797FA7; UPI00122D950B; UPI00167F22E3; UPI0005404D40; UPI00187C8856; UPI00196B08E9; UPI0013961BFE; UPI001237180F; UPI000C9DC413; UPI00071A2DB6; UPI0018E2CF8E; UPI00187973D4; UPI00187C38A2; UPI00186B4007; UPI00038BE6CC; UPI000C9DF9CF; UPI00174F2916; UPI0003C497F7; UPI00188ECE77; UPI00046B7FB8; UPI0003EBE839; UPI00071A99ED; UPI00038EFBE0; UPI0004BD384B; UPI0002AD3717; UPI00027427A2; UPI0005401820; UPI00122EF387; UPI0014423335; UPI00122EE2B4; UPI001396553C; UPI0010F4337E; UPI0010F98E31; UPI0007625EEF; UPI0014550A98; UPI001AEF9CA6; UPI0012438104; UPI0003C00D45; UPI0007044357; UPI000A2B1429; UPI000055D2EB; UPI001486A012,Homo sapiens (Human); Bos taurus (Bovine); Sus scrofa (Pig); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Mus musculus (Mouse); Rattus norvegicus (Rat); Rhinolophus ferrumequinum (Greater horseshoe bat); Ovis aries (Sheep); Canis lupus familiaris (Dog) (Canis familiaris),664,90%,9606; 9913; 9823; 9601; 9541; 10090; 10116; 59479; 9940; 9615; 391180; 9986; 9402; 10160; 9796; 103600; 885580; 9739; 9737; 9597; 2715852; 59463; 379532; 127582; 37032; 9925; 1706337; 10181; 9749; 38626; 9258; 9685; 61383; 9696; 9691; 34884; 9704; 116960; 9643; 29073; 39432; 9627; 9880; 9708; 30538; 29139; 51338; 9755; 29088; 27622; 30522; 9646; 191816; 9838; 32536; 13616; 9365; 30611; 9598; 230844; 10089; 9544; 9515; 9825; 89673; 9483; 10029; 9995; 310752; 10020; 89131; 9430; 37293; 9785; 10036; 10141; 43346; 225400; 48420; 72004; 246437; 54292; 34839; 9733; 40151; 143291; 9407; 9771; 76717; 59534; 9261; 9731; 9974; 30608; 9837; 186990; 27675; 74533; 36723; 9720; 143292; 9715; 482537; 89462; 95912; 35658; 1047088; 192404; 93162; 61622; 286419; 10093; 9595; ; 491861; 9999; 9337; 9361; 9978; 1026970; 79684; 10041; 61853; 38674; 9417; 9793; 59472; 50954; 29078; 9798; 9994; 48883; 61156
UniRef90_P31930,partially reviewed and UniParc,"Cluster: Cytochrome b-c1 complex subunit 1, mitochondrial",32,P31930; G2HEX2; A0A6D2XIK9; A0A2R9B1Y2; A0A2K6RQ38; A0A096MPR9; A0A2K5MYW1; A0A2K6E055; A0A2K5K7R4; H2PAU1; A0A663D9K5; I7GH65; F6PJS7; G7MIP8; A0A2K5YA07; G3QW91; B4DZB9; UPI000BA4E62F; UPI001ADC896C; UPI00122D757B; UPI0013628629; UPI000DC1AF5D; UPI00141B2E0B; UPI0005332E7A; UPI00083BFED5; UPI000C2A315F; UPI00141B77F5; UPI00045DAEE0; UPI0000D5BD78; UPI0012AE2C88; UPI00123E51A5; UPI00123E9369,Homo sapiens (Human); Pan troglodytes (Chimpanzee); Pan paniscus (Pygmy chimpanzee) (Bonobo); Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana); Papio anubis (Olive baboon); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys); Macaca nemestrina (Pig-tailed macaque); Colobus angolensis palliatus (Peters' Angolan colobus); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),480,90%,9606; 9598; 9597; 61622; 9555; 9531; 9545; 336983; 9601; 9541; 9544; 9568; 9595; 1280; 61853; 81572; 9565; 54180; 61621; 591936; 60711
UniRef90_Q5HYK3,partially reviewed and UniParc,"Cluster: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",31,Q5HYK3; Q5RBK6; F8VP53; F8VVX6; A0A096MP37; G1S0N6; A0A2R9A7V4; H9EWI5; A0A2K5XN03; G7N5Z1; A0A2J8XK20; G3R0B6; H2Q714; A0A6D2XIZ7; A0A2J8XK17; A0A2J8MDQ7; A0A2J8XK24; A0A2J8MDQ4; A0A1U7V0M3; A0A0D9S4J4; A0A7N9CDB8; A0A2K5WL38; A0A2K5LMY5; UPI000003B012; UPI000642A9D4; UPI0006430B64; UPI0013625ED6; UPI000C2A0314; UPI0012AD3A62; UPI0005F42C1A; UPI000643D48D,Homo sapiens (Human); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Papio anubis (Olive baboon); Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys); Pan paniscus (Pygmy chimpanzee) (Bonobo); Macaca mulatta (Rhesus macaque); Mandrillus leucophaeus (Drill) (Papio leucophaeus); Gorilla gorilla gorilla (Western lowland gorilla); Pan troglodytes (Chimpanzee); Carlito syrichta (Philippine tarsier) (Tarsius syrichta),327,90%,9606; 9601; 9555; 61853; 9597; 9544; 9568; 9595; 9598; 1868482; 60711; 9541; 9531; 30608; 81572; 591936
UniRef90_P08559,partially reviewed and UniParc,"Cluster: Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",132,P08559; Q5R490; A5A6L0; P26284; Q8HXW9; P35486; H2PV27; A0A5E4BRK9; A5YPB6; A0A024RBX9; F7HBM4; H2QYD5; U3FGT0; A0A2K5PQV9; A0A2J8W447; A0A6D2WWB4; A0A2K5P3B4; A0A2I2Y5G2; A0A6J3III1; Q9TQT9; A0A2K6SMA3; A0A2R9AS55; A0A2K5DZM9; A0A2K6NLY8; A0A1U7U985; A0A3Q0E3C7; A0A2K6SMD1; A0A2K6NM04; A0A2K6DXP5; A0A2K5HQT8; A0A2K5P372; A0A2K5DZV2; A0A671EQ31; A0A0D3L3N9; A0A0D3L3P5; K9IJ91; A0A7J8EL59; A0A7J8EM41; A0A1S3AQQ3; A0A7J7V625; A0A7J7V6A5; Q4FZZ4; A0A1U7QW04; A0A7J7YG16; A0A0D3L3R8; A0A7J7YES0; A0A0P6J1E9; A0A6P5P463; Q53GE3; A0A2Y9RM64; A0A2K6DXM8; G3H5K6; G1PLM5; S7PQ58; A0A6J2MF86; A0A6P3EX33; G1MEB0; A0A3Q7VDS1; A0A452SH08; I3MPQ9; A0A5E4D430; A0A1S3FZI1; A0A6I9J826; A0A0G2JW90; A0A1S2ZN14; A0A6I9L517; A0A1A6GYY5; D4A5G8; Q3UFJ3; M3XVY7; G9KFT5; U6CX45; A0A3P4M1F3; A0A2Y9JS71; A0A091DQ77; A0A2K6FSR8; A0A2K6DXP9; A0A2I3HEZ6; A0A2K5P374; A0A2I3SGV8; A0A2R9ARR3; G3RCK8; A0A2K5PQW5; A0A2I3M4B8; A0A2K6E5X2; L9JI19; F6X569; A0A2K5PQW1; A0A2J8W449; A0A6D2X3C1; A0A2I3SC52; A0A2K5P3B9; A0A2R9AYA7; A0A2K5YTD3; A0A2I3HDG2; A0A2I2ZQ78; A0A2K5VFK8; P08559-3; A0A452U0T2; UPI00027F7D93; UPI0005F46C3F; UPI000DC18368; UPI00083BDEA4; UPI0004D066A8; UPI000DC1BDCA; UPI00063FA6AF; UPI00038EB7CE; UPI00126175F8; UPI00046B85A3; UPI000643F262; UPI00032AE8E3; UPI00189CE748; UPI00188FA7D5; UPI0003346BC1; UPI0005F4B5B2; UPI0007627EE0; UPI000643D15A; UPI00187995A3; UPI000B4EAC36; UPI000A309F86; UPI001B34D16E; UPI00148EA4C2; UPI000E558929; UPI00093EDA34; UPI0001C6256F; UPI0019173F0D; UPI0013F2CCF1; UPI0007675643; UPI00053FF01E; UPI00070447D7; UPI0005F4403F; UPI001AE0A920,Homo sapiens (Human); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Pan troglodytes (Chimpanzee); Rattus norvegicus (Rat); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Mus musculus (Mouse); Marmota monax (Woodchuck); Macaca mulatta (Rhesus macaque); Callithrix jacchus (White-tufted-ear marmoset); Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator),390,90%,9606; 9601; 9598; 10116; 9541; 10090; 9995; 9544; 9483; 2715852; 9531; 9595; 9515; 39432; 9597; 37293; 61622; 1868482; 9545; 336983; 59479; 430491; 89399; 9430; 9407; 9365; 59472; 10036; 51298; 452654; 10181; 10089; 127582; 10029; 59463; 109478; 89673; 10160; 9646; 116960; 9643; 43179; 10020; 185453; 230844; 56216; 9669; 452646; 48420; 391180; 885580; 379532; 61853; 9555; 246437; 9568; 29073; 9565; 61621; 482537; 34839; 35658; 29078; 30611; 9978; 27675; 50954; 143302; 9994; 30608; 192404; 10047; 10093; ; 93162; 9999; 186990; 9986; 76717; 225400
UniRef90_O75208,partially reviewed and UniParc,"Cluster: Ubiquinone biosynthesis protein COQ9, mitochondrial",40,O75208; A0A024R6U3; B4DEE3; A0A2R8MYE1; A0A2R8ZFF3; H0XGA4; A0A6D2XUN8; H2QB70; H3BPY0; A0A2J8MW61; F6YBA9; A0A6D2VTG7; H2NR05; A0A2J8VZ41; A0A6J3ICD4; U3CYV7; A0A2K6U9W7; A0A2K5F5Y7; U3CZY0; G3R9M1; A0A2K5RHX1; A0A2J8MW60; A0A2J8VZ82; H3BNT2; A0A2K6EEM6; G7Q180; UPI00051FF437; UPI000274108B; UPI001395F63E; UPI0018790A66; UPI0018764A73; UPI00122D9C25; UPI00122D5DA0; UPI0013637B6A; UPI000642B442; UPI00098BC675; UPI00045D6DDC; UPI001B34ABBA; UPI0005122081; UPI0004F05901,Homo sapiens (Human); Callithrix jacchus (White-tufted-ear marmoset); Pan paniscus (Pygmy chimpanzee) (Bonobo); Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby); Pan troglodytes (Chimpanzee); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Sapajus apella (Brown-capped capuchin) (Cebus apella); Saimiri boliviensis boliviensis (Bolivian squirrel monkey); Aotus nancymaae (Ma's night monkey); Gorilla gorilla gorilla (Western lowland gorilla),318,90%,9606; 9483; 9597; 30611; 9598; 9601; 9515; 39432; 37293; 9595; 2715852; 379532; 9541; 9720; 9974; 143292; 61853; 81572; 30608; 1230840; 
UniRef90_P52815,partially reviewed and UniParc,"Cluster: 39S ribosomal protein L12, mitochondrial",20,P52815; A0A2K5P6B0; G7NHA1; H9ZC36; A0A2K6AWN8; G7PT49; H2NV24; G3R1R2; A0A2I3H9N0; A0A2K6NE02; A0A2K6KJE4; A0A096NTH9; K7AU98; A0A6D2XZH4; A0A2R9C9I4; A0A0D9S4L5; H9FY62; A0A2K6A505; A0A2K5I485; UPI000C2A6A29,Homo sapiens (Human); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys); Macaca mulatta (Rhesus macaque); Macaca nemestrina (Pig-tailed macaque); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Gorilla gorilla gorilla (Western lowland gorilla); Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys); Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana); Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti),198,90%,9606; 9531; 9544; 9545; 9541; 9601; 9595; 61853; 61622; 61621; 9555; 9598; 9597; 60711; 9568; 336983; 591936
UniRef90_P30049,partially reviewed and UniParc,"Cluster: ATP synthase subunit delta, mitochondrial",20,P30049; A0A6D2WS41; H2QEU1; A0A0A0MX40; A0A0D9RIK3; A0A2K6N2F9; F7ERL9; A0A2K6RMM8; A0A2K5MSH6; A0A2K6E3J5; A0A2J8R9U9; K7AYM8; G3QIS9; A0A2K5X1V2; K7ESU8; UPI000C2ACA0C; UPI0018B02155; UPI00122D7C45; UPI0013622A9D; UPI000383CAE4,Homo sapiens (Human); Pan troglodytes (Chimpanzee); Papio anubis (Olive baboon); Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus); Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti); Macaca mulatta (Rhesus macaque); Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys); Macaca nemestrina (Pig-tailed macaque); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),168,90%,9606; 9598; 9555; 60711; 61621; 9544; 61622; 9531; 9545; 9601; 9595; 9541; 591936; 61853; 81572; 72004
